Timestamp;Value
2009-05-08;-4259
2009-05-09;-4258
2009-05-10;-4256
2009-05-11;-4258
2009-05-12;-4256
2009-05-13;-4254
2009-05-14;-4253
2009-05-15;-4251
2009-05-16;-4250
2009-05-17;-4249
2009-05-18;-4247
2009-05-19;-4242
2009-05-20;-4235
2009-05-21;-4231
2009-05-22;-4225
2009-05-23;-4221
2009-05-24;-4219
2009-05-25;-4218
2009-05-26;-4218
2009-05-27;-4217
2009-05-28;-4218
2009-05-29;-4222
2009-05-30;-4221
2009-05-31;-4218
2009-06-01;-4215
2009-06-02;-4210
2009-06-03;-4201
2009-06-04;-4197
2009-06-05;-4197
2009-06-06;-4198
2009-06-07;-4201
2009-06-08;-4202
2009-06-09;-4201
2009-06-10;-4200
2009-06-11;-4203
2009-06-12;-4202
2009-06-13;-4197
2009-06-14;-4193
2009-06-15;-4192
2009-06-16;-4194
2009-06-17;-4196
2009-06-18;-4197
2009-06-19;-4200
2009-06-20;-4203
2009-06-21;-4203
2009-06-22;-4199
2009-06-23;-4194
2009-06-24;-4190
2009-06-25;-4186
2009-06-26;-4182
2009-06-27;-4177
2009-06-28;-4171
2009-06-29;-4171
2009-06-30;-4171
2009-07-01;-4170
2009-07-02;-4170
2009-07-03;-4170
2009-07-04;-4171
2009-07-05;-4173
2009-07-06;-4179
2009-07-07;-4182
2009-07-08;-4183
2009-07-09;-4173
2009-07-10;-4165
2009-07-11;-4161
2009-07-12;-4159
2009-07-13;-4157
2009-07-14;-4156
2009-07-15;-4156
2009-07-16;-4156
2009-07-17;-4156
2009-07-18;-4158
2009-07-19;-4158
2009-07-20;-4158
2009-07-21;-4160
2009-07-22;-4160
2009-07-23;-4160
2009-07-24;-4162
2009-07-25;-4160
2009-07-26;-4160
2009-07-27;-4159
2009-07-28;-4159
2009-07-29;-4159
2009-07-30;-4158
2009-07-31;-4158
2009-08-01;-4158
2009-08-02;-4154
2009-08-03;-4145
2009-08-04;-4128
2009-08-05;-4105
2009-08-06;-4099
2009-08-07;-4086
2009-08-08;-4082
2009-08-09;-4080
2009-08-10;-4078
2009-08-11;-4074
2009-08-12;-4072
2009-08-13;-4066
2009-08-14;-4060
2009-08-15;-4054
2009-08-16;-4048
2009-08-17;-4040
2009-08-18;-4038
2009-08-19;-4035
2009-08-20;-4034
2009-08-21;-4034
2009-08-22;-4032
2009-08-23;-4030
2009-08-24;-4030
2009-08-25;-4028
2009-08-26;-4023
2009-08-27;-4017
2009-08-28;-4010
2009-08-29;-4008
2009-08-30;-4004
2009-08-31;-4002
2009-09-01;-4001
2009-09-02;-4000
2009-09-03;-3999
2009-09-04;-3997
2009-09-05;-3984
2009-09-06;-3975
2009-09-07;-3956
2009-09-08;-3947
2009-09-09;-3930
2009-09-10;-3913
2009-09-11;-3903
2009-09-12;-3895
2009-09-13;-3889
2009-09-14;-3884
2009-09-15;-3881
2009-09-16;-3874
2009-09-17;-3867
2009-09-18;-3859
2009-09-19;-3849
2009-09-20;-3841
2009-09-21;-3834
2009-09-22;-3830
2009-09-23;-3826
2009-09-24;-3821
2009-09-25;-3811
2009-09-26;-3803
2009-09-27;-3796
2009-09-28;-3787
2009-09-29;-3780
2009-09-30;-3776
2009-10-01;-3771
2009-10-02;-3764
2009-10-03;-3757
2009-10-04;-3751
2009-10-05;-3747
2009-10-06;-3741
2009-10-07;-3733
2009-10-08;-3728
2009-10-09;-3725
2009-10-10;-3723
2009-10-11;-3720
2009-10-12;-3717
2009-10-13;-3717
2009-10-14;-3716
2009-10-15;-3716
2009-10-16;-3716
2009-10-17;-3715
2009-10-18;-3714
2009-10-19;-3714
2009-10-20;-3715
2009-10-21;-3715
2009-10-22;-3716
2009-10-23;-3717
2009-10-24;-3717
2009-10-25;-3717
2009-10-26;-3719
2009-10-27;-3720
2009-10-28;-3722
2009-10-29;-3723
2009-10-30;-3725
2009-10-31;-3726
2009-11-01;-3731
2009-11-02;-3735
2009-11-03;-3741
2009-11-04;-3745
2009-11-05;-3747
2009-11-06;-3748
2009-11-07;-3750
2009-11-08;-3753
2009-11-09;-3755
2009-11-10;-3758
2009-11-11;-3761
2009-11-12;-3763
2009-11-13;-3766
2009-11-14;-3768
2009-11-15;-3769
2009-11-16;-3771
2009-11-17;-3773
2009-11-18;-3774
2009-11-19;-3776
2009-11-20;-3777
2009-11-21;-3781
2009-11-22;-3783
2009-11-23;-3786
2009-11-24;-3790
2009-11-25;-3793
2009-11-26;-3795
2009-11-27;-3798
2009-11-28;-3801
2009-11-29;-3804
2009-11-30;-3808
2009-12-01;-3809
2009-12-02;-3811
2009-12-03;-3815
2009-12-04;-3819
2009-12-05;-3822
2009-12-06;-3825
2009-12-07;-3829
2009-12-08;-3832
2009-12-09;-3835
2009-12-10;-3838
2009-12-11;-3841
2009-12-12;-3843
2009-12-13;-3847
2009-12-14;-3849
2009-12-15;-3851
2009-12-16;-3854
2009-12-17;-3859
2009-12-18;-3861
2009-12-19;-3864
2009-12-20;-3867
2009-12-21;-3870
2009-12-22;-3872
2009-12-23;-3875
